industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
GOVERNMENT,SAN FRANCISCO DEPT OF PUBLIC HEALTH,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
HEALTHCARE (INSURANCE),SAN FRANCISCO HEALTH PLAN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
CONSULTING (DESIGN/ENGINEERING),GMTO CORP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,CITY COLLEGE OF SAN FRANCISCO,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
OTHER SERVICES,MCAVOY O'HARA COMPANY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
ENTERTAINMENT,GOLDEN STATE WARRIORS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
TECH,LIGHTSTEP,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (ADVOCACY),SF HOUSING ACTION COALITION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
HEALTHCARE (PROVIDER),HEART OF WELLNESS,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
TENANT LAW,GREENSTEIN AND MCDONALD,DEAN PRESTON FOR SUPERVISOR 2019,2,500,1
NON-PROFIT (COMMUNITY),NOE NEIGHBORHOOD COUNCIL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,MICROSOFT CORPORATION,DEAN PRESTON FOR SUPERVISOR 2019,2,500,1
PRIVATE LAW,WALKUP LAW OFFICE,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,MOYA LAW FIRM,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,WELLSPRING,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
FINANCE,NORWEST VENTURE PARTNERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
HEALTHCARE (PROVIDER),ENSIGN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),SINOTAS CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,SOFTWARE ENGINEER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (OTHER),MAXIMS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),STEINHORN CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
HEALTHCARE (OTHER),PRICEWATERHOUSECOOPERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
EDUCATION,TRINITY SCHOOL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FINANCE,MORGAN STANLEY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
CONSULTING (BUSINESS),EDELMAN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
CONSULTING (BUSINESS),MESLOH STRATEGIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,500,1
HEALTHCARE (INSURANCE),AETNA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,6,500,1
NON-PROFIT (LAW),NATIONAL HOUSING LAW PROJECT,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
FINANCE,ZEBED SECURITIES LLX,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,CITY OF OAKLAND,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),ROBERT HALF MANAGEMENT RESOURCES,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (REALTOR),DAVE WASSERMAN REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,HOOSHMAND LAW GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (LAW),EAST BAY COMMUNITY LAW CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
