industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
GOVERNMENT,GOLDEN GATE BRIDGE HIGHWAY AND TRANSPORTATION DISTRICT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NA,BEATRICE RICHARDSON,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,SALINAS LAW GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
OTHER SERVICES,KAY TANEYHILL PHOTOGRAPHY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (INVESTMENT),ERIC SCHLEELEIN REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (INVESTMENT),EASTDIL SECURED,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (LANDLORD),MAKRAS REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,EAST BAY MUNICIPAL UTILITY DISTRICT,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
HEALTHCARE (INSURANCE),DELTA DENTAL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (LANDLORD),STEELE PROPERTIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,PLANGRID,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CANNABIS,GRASS ROOTS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),HIGGINS STRATEGY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
REAL ESTATE (REALTOR),LENA EMMERY REAL ESTATE BROKER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
ENERGY,ENERGY EXPERTS INTERNATIONAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,500,1
TECH,STRIPE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
TECH,STRIPE,DEAN PRESTON FOR SUPERVISOR 2019,3,400,1
NON-PROFIT (COMMUNITY),PUBLIC INTEREST LAW PROJECT,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
